,0
0,35.0
1,38.0
2,12.0
3,25.0
4,2.0
5,9.0
6,5.0
7,25.0
8,1.0
9,12.0
10,18.0
11,1.0
12,34.0
13,10.0
14,30.0
15,38.0
16,2.0
17,12.0
18,32.0
19,12.0
20,12.0
21,4.0
22,21.0
23,10.0
24,7.0
25,27.0
26,12.0
27,17.0
28,4.0
29,31.0
30,7.0
31,10.0
32,13.0
33,5.0
34,5.0
35,38.0
36,34.0
37,10.0
38,4.0
39,15.0
40,10.0
41,5.0
42,17.0
43,23.0
44,13.0
45,15.0
46,35.0
47,6.0
48,10.0
49,31.0
50,2.0
51,25.0
52,2.0
53,35.0
54,18.0
55,20.0
56,31.0
57,35.0
58,9.0
59,13.0
60,6.0
61,13.0
62,21.0
63,11.0
64,6.0
65,31.0
66,17.0
67,14.0
68,25.0
69,32.0
70,31.0
71,1.0
72,15.0
73,8.0
74,13.0
75,5.0
76,13.0
77,10.0
78,4.0
79,1.0
80,14.0
81,13.0
82,1.0
83,4.0
84,23.0
85,9.0
86,3.0
87,38.0
88,13.0
89,4.0
90,39.0
91,1.0
92,13.0
93,9.0
94,25.0
95,42.0
96,10.0
97,23.0
98,12.0
99,2.0
100,3.0
101,17.0
102,10.0
103,38.0
104,38.0
105,38.0
106,14.0
107,4.0
108,1.0
109,17.0
110,38.0
111,5.0
112,3.0
113,8.0
114,1.0
115,9.0
116,35.0
117,35.0
118,3.0
119,8.0
120,14.0
121,12.0
122,26.0
123,7.0
124,38.0
125,10.0
126,1.0
127,4.0
128,8.0
129,9.0
130,2.0
131,3.0
132,6.0
133,12.0
134,28.0
135,5.0
136,28.0
137,30.0
138,2.0
139,6.0
140,31.0
141,2.0
142,18.0
143,13.0
144,11.0
145,26.0
146,2.0
147,1.0
148,4.0
149,12.0
150,4.0
151,17.0
152,5.0
153,26.0
154,38.0
155,4.0
156,39.0
157,25.0
158,25.0
159,12.0
160,15.0
161,11.0
162,11.0
163,1.0
164,5.0
165,3.0
166,2.0
167,10.0
168,1.0
169,11.0
170,25.0
171,39.0
172,38.0
173,28.0
174,12.0
175,13.0
176,17.0
177,12.0
178,4.0
179,16.0
180,20.0
181,4.0
182,15.0
183,9.0
184,17.0
185,28.0
186,12.0
187,2.0
188,3.0
189,3.0
190,1.0
191,33.0
192,13.0
193,11.0
194,18.0
195,8.0
196,39.0
197,3.0
198,9.0
199,29.0
200,5.0
201,25.0
202,13.0
203,38.0
204,13.0
205,18.0
206,39.0
207,6.0
208,6.0
209,2.0
210,5.0
211,42.0
212,5.0
213,2.0
214,25.0
215,26.0
216,31.0
217,5.0
218,14.0
219,42.0
220,5.0
221,41.0
222,2.0
223,37.0
224,26.0
225,38.0
226,25.0
227,9.0
228,5.0
229,17.0
230,4.0
231,4.0
232,40.0
233,12.0
234,38.0
235,18.0
236,35.0
237,15.0
238,1.0
239,31.0
240,4.0
241,10.0
242,14.0
243,10.0
244,15.0
245,5.0
246,2.0
247,1.0
248,21.0
249,2.0
250,11.0
251,25.0
252,12.0
253,35.0
254,2.0
255,4.0
256,8.0
257,15.0
258,5.0
259,3.0
260,4.0
261,32.0
262,11.0
263,36.0
264,40.0
265,5.0
266,10.0
267,38.0
268,21.0
269,13.0
270,13.0
271,10.0
272,32.0
273,38.0
274,3.0
275,11.0
276,7.0
277,7.0
278,3.0
279,7.0
280,11.0
281,17.0
282,31.0
283,15.0
284,10.0
285,13.0
286,10.0
287,2.0
288,1.0
289,13.0
290,9.0
291,7.0
292,8.0
293,35.0
294,14.0
295,30.0
296,33.0
297,6.0
298,7.0
299,10.0
300,1.0
301,6.0
302,20.0
303,1.0
304,25.0
305,2.0
306,13.0
307,33.0
308,8.0
309,22.0
310,10.0
311,5.0
312,17.0
313,35.0
314,38.0
315,21.0
316,16.0
317,18.0
318,23.0
319,1.0
320,13.0
321,13.0
322,10.0
323,18.0
324,8.0
325,5.0
326,3.0
327,1.0
328,5.0
329,4.0
330,10.0
331,2.0
332,4.0
333,8.0
334,13.0
335,25.0
336,18.0
337,26.0
338,8.0
339,35.0
340,39.0
341,21.0
342,7.0
343,12.0
344,18.0
345,12.0
346,31.0
347,17.0
348,5.0
349,7.0
350,17.0
351,23.0
352,33.0
353,1.0
354,4.0
355,1.0
356,5.0
357,12.0
358,15.0
359,17.0
360,21.0
361,3.0
362,35.0
363,12.0
364,5.0
365,11.0
366,4.0
367,10.0
368,39.0
369,4.0
370,25.0
371,2.0
372,8.0
373,11.0
374,13.0
375,2.0
376,2.0
377,36.0
378,10.0
379,18.0
380,7.0
381,2.0
382,27.0
383,5.0
384,0.0
385,13.0
386,2.0
387,17.0
388,1.0
389,23.0
390,1.0
391,25.0
392,25.0
393,25.0
394,19.0
395,5.0
396,4.0
397,8.0
398,4.0
399,26.0
400,17.0
401,10.0
402,5.0
403,17.0
404,4.0
405,1.0
406,5.0
407,1.0
408,6.0
409,1.0
410,2.0
411,13.0
412,7.0
413,18.0
414,5.0
415,11.0
416,7.0
417,12.0
418,8.0
419,4.0
420,2.0
421,16.0
422,9.0
423,32.0
424,3.0
425,1.0
426,22.0
427,20.0
428,28.0
429,4.0
430,25.0
431,2.0
432,15.0
433,31.0
434,2.0
435,18.0
436,29.0
437,4.0
438,41.0
439,38.0
440,12.0
441,4.0
442,8.0
443,12.0
444,11.0
445,12.0
446,38.0
447,26.0
448,34.0
449,9.0
450,7.0
451,13.0
452,24.0
453,31.0
454,36.0
455,12.0
456,7.0
457,13.0
458,9.0
459,38.0
460,35.0
461,35.0
462,35.0
463,30.0
464,4.0
465,18.0
466,13.0
467,8.0
468,4.0
469,30.0
470,4.0
471,25.0
472,35.0
473,1.0
474,4.0
475,25.0
476,9.0
477,2.0
478,1.0
479,4.0
480,9.0
481,7.0
482,25.0
483,9.0
484,1.0
485,1.0
486,15.0
487,8.0
488,13.0
489,2.0
490,3.0
491,10.0
492,7.0
493,5.0
494,5.0
495,38.0
496,7.0
497,29.0
498,3.0
499,13.0
500,2.0
501,11.0
502,9.0
503,2.0
504,25.0
505,1.0
506,7.0
507,7.0
508,7.0
509,21.0
510,15.0
511,14.0
512,15.0
513,26.0
514,35.0
515,10.0
516,1.0
517,1.0
518,18.0
519,5.0
520,33.0
521,2.0
522,12.0
523,10.0
524,37.0
525,26.0
526,4.0
527,1.0
528,2.0
529,1.0
530,9.0
531,41.0
532,16.0
533,4.0
534,4.0
535,8.0
536,33.0
537,4.0
538,15.0
539,26.0
540,2.0
541,34.0
542,5.0
543,10.0
544,12.0
545,14.0
546,1.0
547,34.0
548,38.0
549,38.0
550,13.0
551,38.0
552,15.0
553,8.0
554,38.0
555,34.0
556,23.0
557,10.0
558,3.0
559,14.0
560,9.0
561,5.0
562,13.0
563,22.0
564,4.0
565,17.0
566,3.0
567,5.0
568,40.0
569,17.0
570,23.0
571,4.0
572,38.0
573,1.0
574,38.0
575,13.0
576,31.0
577,10.0
578,38.0
579,35.0
580,4.0
581,12.0
582,35.0
583,7.0
584,38.0
585,7.0
586,10.0
587,12.0
588,5.0
589,3.0
590,13.0
591,38.0
592,7.0
593,36.0
594,34.0
595,10.0
596,18.0
597,42.0
598,10.0
599,38.0
600,23.0
601,38.0
602,12.0
603,26.0
604,18.0
605,4.0
606,31.0
607,26.0
608,3.0
609,28.0
610,12.0
611,25.0
612,18.0
613,30.0
614,6.0
615,10.0
616,22.0
617,32.0
618,35.0
619,32.0
620,3.0
621,21.0
622,28.0
623,3.0
624,2.0
625,37.0
626,35.0
627,5.0
628,31.0
629,13.0
630,5.0
631,8.0
632,5.0
633,35.0
634,23.0
635,6.0
636,39.0
637,2.0
638,2.0
639,13.0
640,9.0
641,17.0
642,11.0
643,30.0
644,17.0
645,25.0
646,33.0
647,38.0
648,15.0
649,17.0
650,3.0
651,1.0
652,17.0
653,11.0
654,3.0
655,26.0
656,38.0
657,7.0
658,11.0
659,8.0
660,33.0
661,23.0
662,5.0
663,11.0
664,1.0
665,2.0
666,12.0
667,13.0
668,2.0
669,35.0
670,32.0
671,34.0
672,35.0
673,4.0
674,19.0
675,11.0
676,14.0
677,20.0
678,9.0
679,42.0
680,2.0
681,0.0
682,11.0
683,10.0
684,38.0
685,14.0
686,31.0
687,18.0
688,9.0
689,1.0
690,38.0
691,2.0
692,38.0
693,4.0
694,9.0
695,2.0
696,21.0
697,10.0
698,12.0
699,4.0
700,32.0
701,1.0
702,8.0
703,19.0
704,17.0
705,9.0
706,40.0
707,4.0
708,35.0
709,39.0
710,25.0
711,38.0
712,31.0
713,42.0
714,39.0
715,12.0
716,5.0
717,10.0
718,12.0
719,36.0
720,13.0
721,38.0
722,13.0
723,27.0
724,22.0
725,2.0
726,8.0
727,18.0
728,10.0
729,38.0
730,30.0
731,18.0
732,36.0
733,34.0
734,8.0
735,2.0
736,11.0
737,11.0
738,13.0
739,11.0
740,3.0
741,10.0
742,1.0
743,23.0
744,22.0
745,12.0
746,1.0
747,42.0
748,35.0
749,14.0
750,38.0
751,23.0
752,4.0
753,33.0
754,9.0
755,6.0
756,15.0
757,9.0
758,36.0
759,42.0
760,35.0
761,38.0
762,15.0
763,3.0
764,25.0
765,18.0
766,3.0
767,4.0
768,5.0
769,14.0
770,1.0
771,13.0
772,37.0
773,3.0
774,22.0
775,5.0
776,2.0
777,30.0
778,7.0
779,5.0
780,5.0
781,12.0
782,12.0
783,3.0
784,2.0
785,1.0
786,5.0
787,25.0
788,1.0
789,25.0
790,17.0
791,5.0
792,18.0
793,22.0
794,8.0
795,40.0
796,9.0
797,39.0
798,39.0
799,11.0
800,15.0
801,18.0
802,38.0
803,5.0
804,25.0
805,14.0
806,18.0
807,12.0
808,7.0
809,38.0
810,8.0
811,1.0
812,10.0
813,4.0
814,18.0
815,11.0
816,16.0
817,15.0
818,14.0
819,4.0
820,4.0
821,10.0
822,40.0
823,7.0
824,25.0
825,10.0
826,2.0
827,13.0
828,14.0
829,3.0
830,27.0
831,5.0
832,9.0
833,5.0
834,10.0
835,40.0
836,13.0
837,33.0
838,5.0
839,3.0
840,7.0
841,36.0
842,13.0
843,2.0
844,4.0
845,32.0
846,3.0
847,4.0
848,3.0
849,18.0
850,6.0
851,4.0
852,38.0
853,12.0
854,36.0
855,12.0
856,19.0
857,41.0
858,36.0
859,0.0
860,31.0
861,17.0
862,10.0
863,13.0
864,35.0
865,8.0
866,2.0
867,8.0
868,1.0
869,4.0
870,25.0
871,25.0
872,12.0
873,16.0
874,1.0
875,36.0
876,22.0
877,12.0
878,2.0
879,38.0
880,10.0
881,1.0
882,32.0
883,35.0
884,11.0
885,6.0
886,14.0
887,2.0
888,12.0
889,2.0
890,12.0
891,4.0
892,8.0
893,10.0
894,20.0
895,4.0
896,6.0
897,26.0
898,13.0
899,34.0
900,12.0
901,3.0
902,42.0
903,4.0
904,42.0
905,5.0
906,1.0
907,8.0
908,10.0
909,31.0
910,10.0
911,5.0
912,1.0
913,6.0
914,31.0
915,18.0
916,31.0
917,8.0
918,39.0
919,9.0
920,14.0
921,8.0
922,33.0
923,17.0
924,2.0
925,12.0
926,13.0
927,31.0
928,8.0
929,12.0
930,12.0
931,13.0
932,15.0
933,9.0
934,2.0
935,40.0
936,22.0
937,10.0
938,42.0
939,13.0
940,14.0
941,2.0
942,7.0
943,10.0
944,31.0
945,38.0
946,10.0
947,4.0
948,11.0
949,34.0
950,22.0
951,2.0
952,4.0
953,40.0
954,2.0
955,38.0
956,37.0
957,7.0
958,35.0
959,2.0
960,31.0
961,13.0
962,17.0
963,8.0
964,17.0
965,38.0
966,33.0
967,8.0
968,13.0
969,2.0
970,3.0
971,38.0
972,3.0
973,12.0
974,13.0
975,12.0
976,11.0
977,1.0
978,5.0
979,4.0
980,6.0
981,13.0
982,1.0
983,2.0
984,9.0
985,1.0
986,32.0
987,5.0
988,23.0
989,25.0
990,26.0
991,20.0
992,33.0
993,22.0
994,1.0
995,16.0
996,1.0
997,25.0
998,13.0
999,13.0
1000,2.0
1001,27.0
1002,38.0
1003,21.0
1004,14.0
1005,2.0
1006,15.0
1007,7.0
1008,13.0
1009,25.0
1010,7.0
1011,10.0
1012,23.0
1013,38.0
1014,3.0
1015,13.0
1016,4.0
1017,7.0
1018,5.0
1019,15.0
1020,9.0
1021,12.0
1022,23.0
1023,10.0
1024,10.0
1025,27.0
1026,8.0
1027,3.0
1028,25.0
1029,40.0
1030,1.0
1031,24.0
1032,7.0
1033,28.0
1034,12.0
1035,37.0
1036,35.0
1037,5.0
1038,1.0
1039,23.0
1040,1.0
1041,12.0
1042,8.0
1043,12.0
1044,14.0
1045,12.0
1046,27.0
1047,10.0
1048,36.0
1049,14.0
1050,14.0
1051,7.0
1052,17.0
1053,0.0
1054,17.0
1055,28.0
1056,20.0
1057,35.0
1058,3.0
1059,38.0
1060,7.0
1061,20.0
1062,37.0
1063,5.0
1064,14.0
1065,4.0
1066,2.0
1067,5.0
1068,38.0
1069,31.0
1070,35.0
1071,5.0
1072,35.0
1073,11.0
1074,11.0
1075,10.0
